YEAR,Á¾ÇÕ¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,AVG,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,SBA,SB,CS,SB%,OOB,PKO
2016,1,µÎ»ê,4.45,144,93,50,36,55,0.65,1287 2/3,1385,136,498,77,982,682,636,1.46,2,7,75,15,5658,22155,0.279,246,30,59,51,7,66,4,0.298,5841,5044,935,1504,284,25,183,2387,877,43,68,600,11,86,884,121,0.473,0.378,0.851,144,0.305,0.261,79,8,3863,1522,160,0.986,4,82,44,34.9,130,85,45,65.4,64,4
2016,2,NC,4.48,144,83,58,36,62,0.589,1286 1/3,1314,137,516,86,1147,690,640,1.42,0,10,42,13,5643,22029,0.266,208,18,53,40,2,84,7,0.291,5833,5007,857,1457,249,19,169,2251,808,70,52,609,18,93,1023,133,0.45,0.375,0.825,143,0.302,0.239,100,4,3859,1430,136,0.981,3,70,43,38.1,140,99,41,70.7,48,3
2016,3,³Ø¼¾,4.96,144,77,66,38,74,0.538,1280 1/3,1487,152,435,68,895,757,705,1.5,0,4,45,17,5684,21627,0.294,249,27,66,59,3,50,3,0.293,5702,4990,813,1464,254,39,134,2198,765,34,59,556,17,63,956,121,0.44,0.368,0.808,144,0.306,0.244,94,8,3841,1460,121,0.983,11,98,60,38,237,154,83,65,56,11
2016,4,LG,5.04,144,71,71,34,75,0.5,1287 2/3,1426,122,539,109,909,807,721,1.53,2,5,53,16,5782,22100,0.284,243,23,64,56,27,84,1,0.29,5765,5051,786,1464,238,26,118,2108,744,65,54,523,10,72,982,92,0.417,0.361,0.778,143,0.286,0.236,103,12,3863,1580,139,0.981,9,80,49,38,191,121,70,63.4,70,13
2016,5,KIA,4.97,144,70,73,38,74,0.49,1276,1456,131,561,59,965,785,705,1.58,7,5,58,21,5771,22527,0.29,230,23,75,54,18,69,7,0.286,5696,4999,803,1429,264,28,170,2259,754,66,45,499,12,87,997,109,0.452,0.358,0.81,144,0.288,0.286,111,10,3828,1441,139,0.979,4,136,49,26.5,151,101,50,66.9,52,12
2016,6,SK,4.87,144,69,75,31,43,0.479,1274,1386,151,527,76,945,784,689,1.5,1,5,60,12,5659,21558,0.28,232,22,61,48,18,65,7,0.291,5672,5023,753,1464,234,19,182,2282,715,71,47,429,13,102,1018,104,0.454,0.356,0.81,142,0.276,0.299,123,7,3822,1691,149,0.978,4,106,64,37.6,149,89,60,59.7,71,8
2016,7,ÇÑÈ­,5.76,144,66,75,24,39,0.468,1292 2/3,1520,155,634,76,976,908,827,1.67,1,2,25,13,5937,23157,0.299,230,15,81,59,23,72,6,0.289,5838,5109,826,1478,242,27,142,2200,787,87,41,510,19,91,1025,123,0.431,0.362,0.793,144,0.301,0.28,124,7,3878,1497,152,0.977,8,124,66,34.7,102,64,38,62.7,58,10
2016,8,·Ôµ¥,5.63,144,66,78,27,59,0.458,1266 1/3,1486,161,585,78,1009,865,792,1.64,2,5,50,18,5785,22761,0.297,276,32,60,52,27,82,5,0.288,5784,5001,777,1439,252,20,127,2112,732,62,41,596,18,83,1061,120,0.422,0.37,0.792,144,0.285,0.251,91,14,3799,1545,142,0.983,14,90,59,39.6,209,145,64,69.4,55,10
2016,9,»ï¼º,5.64,144,65,78,34,60,0.455,1282 1/3,1507,193,518,87,935,869,804,1.58,2,4,49,18,5799,22623,0.296,251,20,59,43,6,52,8,0.293,5863,5093,852,1492,249,34,142,2235,792,88,55,552,15,75,864,119,0.439,0.367,0.806,144,0.298,0.221,90,12,3847,1410,140,0.983,8,115,58,33.5,154,104,50,67.5,51,5
2016,10,kt,5.92,144,53,89,27,48,0.373,1273,1593,145,560,84,980,927,838,1.69,1,2,38,15,5896,23328,0.31,315,38,73,45,9,77,9,0.276,5620,4963,672,1369,214,11,116,1953,639,65,45,499,7,48,933,130,0.394,0.345,0.739,144,0.278,0.22,130,5,3819,1550,151,0.976,11,115,55,32.4,142,96,46,67.6,58,11
